roundID,subjectID,numSelected,payoff
8,Cmarti,3,220
9,Cmarti,3,220
10,Cmarti,4,220
1,MattDC,1,0
2,MattDC,3,0
3,MattDC,1,0
4,MattDC,7,50
1,Mgamer,5,0
5,MattDC,5,140
6,MattDC,1,140
2,Mgamer,3,0
7,MattDC,4,140
3,Mgamer,1,0
8,MattDC,5,195
4,Mgamer,6,30
9,MattDC,6,315
5,Mgamer,4,70
10,MattDC,3,315
1,barbara,2,30
6,Mgamer,4,120
2,barbara,3,30
3,barbara,2,30
7,Mgamer,6,220
8,Mgamer,5,330
4,barbara,3,30
9,Mgamer,2,330
10,Mgamer,6,390
5,barbara,3,75
6,barbara,4,125
7,barbara,3,125
8,barbara,4,125
9,barbara,4,125
10,barbara,4,125
1,dallas,7,50
2,dallas,2,130
3,dallas,1,200
4,dallas,3,290
5,dallas,4,390
6,dallas,5,500
7,dallas,6,600
8,dallas,6,700
9,dallas,5,810
10,dallas,6,930
1,BasiaLJ,6,60
1,Innana,1,35
2,Innana,1,70
2,BasiaLJ,4,140
3,Innana,4,100
3,BasiaLJ,3,185
4,Innana,1,100
4,BasiaLJ,4,265
5,Innana,4,200
5,BasiaLJ,3,355
6,Innana,3,200
6,BasiaLJ,2,355
7,Innana,2,200
1,SuperM,4,30
8,Innana,1,200
7,BasiaLJ,3,355
9,Innana,4,200
8,BasiaLJ,4,405
10,Innana,2,200
9,BasiaLJ,5,460
2,SuperM,4,130
10,BasiaLJ,3,460
3,SuperM,4,130
1,denver101,2,60
4,SuperM,6,160
5,SuperM,5,250
2,denver101,1,130
3,denver101,1,200
4,denver101,3,290
1,Supernova,7,0
5,denver101,3,380
6,denver101,4,480
2,Supernova,7,25
7,denver101,5,590
3,Supernova,7,25
4,Supernova,7,75
8,denver101,5,700
5,Supernova,7,145
9,denver101,6,820
6,Supernova,7,235
7,Supernova,7,280
6,SuperM,5,370
10,denver101,7,950
8,Supernova,7,370
7,SuperM,6,370
9,Supernova,7,480
10,Supernova,7,610
8,SuperM,6,490
9,SuperM,6,610
1,lcr1490,7,50
10,SuperM,6,670
2,lcr1490,4,80
3,lcr1490,1,80
4,lcr1490,7,80
5,lcr1490,6,180
6,lcr1490,5,270
1,Wish,6,60
7,lcr1490,6,320
2,Wish,6,100
8,lcr1490,6,440
1,YJ,2,80
3,Wish,4,180
9,lcr1490,3,440
2,YJ,2,80
10,lcr1490,6,500
3,YJ,6,110
4,YJ,7,110
5,YJ,6,110
1,sh23,5,50
6,YJ,1,110
7,YJ,4,160
8,YJ,6,210
9,YJ,7,320
4,Wish,7,120
10,YJ,5,320
1,Kim,3,25
5,Wish,5,190
6,Wish,6,290
2,sh23,7,80
7,Wish,7,380
2,Kim,3,25
8,Wish,6,480
3,sh23,6,100
1,cclark33,5,25
3,Kim,4,65
4,sh23,4,100
2,cclark33,3,115
5,sh23,5,210
4,Kim,3,65
3,cclark33,5,115
6,sh23,5,320
5,Kim,4,115
4,cclark33,4,215
7,sh23,1,320
5,cclark33,3,260
9,Wish,5,535
8,sh23,6,370
6,Kim,4,165
6,cclark33,4,360
10,Wish,7,665
9,sh23,5,425
7,cclark33,5,470
1,Victoria,5,35
7,Kim,3,165
8,cclark33,6,590
10,sh23,5,480
9,cclark33,7,700
8,Kim,1,165
10,cclark33,7,830
2,Victoria,2,115
9,Kim,4,165
10,Kim,5,165
3,Victoria,1,115
1,Chai,3,25
1,Jason,7,30
4,Victoria,3,160
5,Victoria,2,160
2,Chai,1,25
2,Jason,7,80
3,Chai,3,70
6,Victoria,3,160
3,Jason,4,120
4,Chai,3,115
4,Jason,3,210
7,Victoria,5,270
5,Chai,1,115
8,Victoria,3,270
6,Chai,4,215
5,Jason,3,300
9,Victoria,4,270
1,Darmok,2,80
7,Chai,6,315
6,Jason,4,400
10,Victoria,3,270
7,Jason,4,500
8,Chai,5,370
2,Darmok,1,150
9,Chai,7,480
8,Jason,4,600
10,Chai,7,610
3,Darmok,3,240
9,Jason,5,710
4,Darmok,2,320
10,Jason,6,830
5,Darmok,4,420
6,Darmok,4,520
7,Darmok,5,610
8,Darmok,4,710
9,Darmok,4,810
10,Darmok,4,910
1,bobby,5,50
2,bobby,5,100
3,bobby,5,150
4,bobby,3,240
5,bobby,4,340
6,bobby,4,440
7,bobby,5,550
1,tammy,5,15
8,bobby,6,670
9,bobby,7,780
10,bobby,7,910
2,tammy,6,15
1,Robert,4,80
1,robert,5,70
2,Robert,5,170
3,Robert,3,260
3,tammy,6,45
4,Robert,2,340
5,Robert,1,410
2,robert,3,160
1,jdkvt,5,30
6,Robert,3,500
3,robert,4,240
7,Robert,5,610
2,jdkvt,2,110
8,Robert,6,710
9,Robert,7,820
4,robert,6,300
1,StormyLife,7,50
10,Robert,7,950
3,jdkvt,6,170
5,robert,2,380
4,tammy,5,80
2,StormyLife,7,80
4,jdkvt,2,250
6,robert,7,450
3,StormyLife,6,140
7,robert,1,520
5,jdkvt,3,340
8,robert,1,590
4,StormyLife,6,180
1,MJG,5,30
5,tammy,5,125
9,robert,2,670
6,jdkvt,1,410
5,StormyLife,6,240
7,jdkvt,6,510
10,robert,3,760
2,MJG,4,130
6,StormyLife,6,340
8,jdkvt,4,610
7,StormyLife,6,440
3,MJG,6,210
8,StormyLife,6,540
9,jdkvt,2,690
9,StormyLife,6,660
4,MJG,7,240
10,StormyLife,6,780
10,jdkvt,5,800
6,tammy,4,175
5,MJG,4,340
1,AD,2,40
1,MturkerWU3,4,80
6,MJG,4,440
2,AD,3,130
2,MturkerWU3,2,160
7,MJG,5,550
3,AD,5,175
8,MJG,5,660
3,MturkerWU3,5,230
7,tammy,5,285
4,AD,5,245
9,MJG,6,780
4,MturkerWU3,1,230
5,AD,3,290
10,MJG,6,900
6,AD,4,340
5,MturkerWU3,6,310
7,AD,5,450
6,MturkerWU3,7,380
8,AD,4,450
8,tammy,6,335
9,AD,5,505
7,MturkerWU3,5,490
10,AD,3,505
8,MturkerWU3,4,490
9,MturkerWU3,7,600
9,tammy,7,445
10,MturkerWU3,7,730
1,dlpay,5,50
10,tammy,7,575
2,dlpay,3,95
3,dlpay,4,135
1,puja,1,70
2,puja,2,150
4,dlpay,5,225
3,puja,3,240
4,puja,4,300
5,dlpay,3,225
5,puja,5,370
6,puja,6,430
6,dlpay,5,335
7,puja,7,520
8,puja,2,600
7,dlpay,4,385
9,puja,7,710
8,dlpay,4,435
10,puja,4,810
9,dlpay,5,490
10,dlpay,5,545
1,Sara,2,80
2,Sara,3,170
1,shell,7,50
3,Sara,4,270
4,Sara,6,350
2,shell,7,80
5,Sara,5,440
6,Sara,5,530
3,shell,7,110
7,Sara,4,630
4,shell,7,180
8,Sara,7,740
9,Sara,7,850
1,Julia,5,50
5,shell,7,230
10,Sara,7,980
6,shell,7,320
2,Julia,4,110
7,shell,7,410
8,shell,7,500
3,Julia,6,150
9,shell,7,610
10,shell,7,740
4,Julia,5,150
1,nikki,2,40
5,Julia,7,175
2,nikki,4,120
6,Julia,3,220
3,nikki,3,190
1,AMANO RAY,4,30
4,nikki,5,280
7,Julia,5,330
5,nikki,3,280
2,AMANO RAY,3,75
8,Julia,6,380
6,nikki,3,280
3,AMANO RAY,2,75
7,nikki,4,330
4,AMANO RAY,4,115
9,Julia,7,490
8,nikki,3,330
5,AMANO RAY,5,185
10,Julia,4,490
6,AMANO RAY,5,230
9,nikki,4,330
10,nikki,4,330
7,AMANO RAY,3,230
8,AMANO RAY,4,280
1,Iamowl,5,0
9,AMANO RAY,7,390
1,Katie,5,70
10,AMANO RAY,6,450
2,Katie,6,110
3,Katie,3,180
4,Katie,4,260
5,Katie,5,350
2,Iamowl,5,0
6,Katie,6,430
7,Katie,7,520
8,Katie,7,610
9,Katie,7,720
3,Iamowl,7,25
10,Katie,6,840
4,Iamowl,6,85
5,Iamowl,4,135
1,Judy,2,60
6,Iamowl,5,245
7,Iamowl,6,295
2,Judy,4,140
8,Iamowl,5,405
9,Iamowl,4,405
3,Judy,5,230
10,Iamowl,6,465
4,Judy,6,310
5,Judy,5,400
6,Judy,5,470
7,Judy,5,580
1,Christine,3,35
8,Judy,6,700
2,Christine,3,70
9,Judy,6,820
3,Christine,3,105
4,Christine,2,105
10,Judy,6,940
5,Christine,3,105
6,Christine,5,215
1,HelloScience,6,20
7,Christine,5,325
2,HelloScience,3,110
8,Christine,5,380
9,Christine,6,500
1,jencity,4,60
3,HelloScience,4,190
10,Christine,6,620
2,jencity,6,80
4,HelloScience,4,250
3,jencity,2,160
5,HelloScience,3,340
6,HelloScience,5,410
4,jencity,3,250
7,HelloScience,5,520
5,jencity,4,350
8,HelloScience,5,630
6,jencity,5,420
9,HelloScience,6,750
7,jencity,4,520
10,HelloScience,7,880
8,jencity,3,610
9,jencity,5,720
10,jencity,5,830
1,david,3,35
1,m33n4,3,70
2,david,4,115
3,david,4,195
2,m33n4,2,150
4,david,3,195
3,m33n4,3,240
5,david,4,245
4,m33n4,1,240
6,david,4,285
5,m33n4,3,240
1,seaaan,7,10
6,m33n4,4,340
7,david,3,330
2,seaaan,4,70
7,m33n4,3,340
3,seaaan,3,160
8,david,4,330
9,david,3,330
8,m33n4,3,340
4,seaaan,6,240
10,david,5,385
1,Katie,5,15
9,m33n4,4,340
5,seaaan,5,330
6,seaaan,5,420
10,m33n4,2,340
7,seaaan,4,520
2,Katie,6,75
8,seaaan,4,620
1,Knowledge,3,90
9,seaaan,4,720
3,Katie,5,100
1,awu,7,50
10,seaaan,6,840
2,Knowledge,4,120
4,Katie,3,145
2,awu,7,50
1,kitkat,6,40
5,Katie,4,245
3,Knowledge,2,200
3,awu,7,100
1,turkey12,7,10
2,kitkat,7,70
6,Katie,4,295
4,Knowledge,3,245
2,turkey12,6,70
4,awu,7,190
3,kitkat,5,120
7,Katie,4,295
5,Knowledge,1,245
4,kitkat,6,180
5,awu,7,260
3,turkey12,5,140
5,kitkat,7,250
6,Knowledge,3,290
4,turkey12,5,210
8,Katie,6,415
6,awu,7,295
6,kitkat,5,340
7,kitkat,4,440
5,turkey12,5,300
7,Knowledge,3,290
8,kitkat,5,550
9,Katie,6,535
6,turkey12,5,390
9,kitkat,4,650
8,Knowledge,4,290
7,turkey12,5,500
10,Katie,6,595
10,kitkat,4,750
9,Knowledge,3,290
8,turkey12,6,620
9,turkey12,7,730
10,Knowledge,5,345
10,turkey12,7,860
7,awu,5,430
8,awu,5,540
9,awu,6,660
10,awu,7,790
1,seema,5,50
1,victreebel,7,10
1,Doll,5,0
2,victreebel,7,40
2,seema,3,140
2,Doll,5,70
3,victreebel,7,70
3,seema,4,200
4,victreebel,7,140
4,seema,2,200
3,Doll,4,110
5,seema,1,200
5,victreebel,7,210
6,seema,7,235
4,Doll,5,145
6,victreebel,7,280
7,seema,6,285
7,victreebel,4,380
8,seema,4,285
1,Bert,3,0
5,Doll,5,180
8,victreebel,5,490
9,seema,3,285
9,victreebel,6,610
10,seema,5,340
2,Bert,2,40
6,Doll,5,290
10,victreebel,7,740
3,Bert,2,40
1,tiger,2,0
4,Bert,4,90
7,Doll,5,400
5,Bert,3,135
2,tiger,3,35
6,Bert,4,235
3,tiger,2,35
4,tiger,1,35
7,Bert,3,235
8,Doll,5,455
8,Bert,4,235
9,Bert,5,290
5,tiger,2,35
10,Bert,5,290
9,Doll,6,575
10,Doll,6,635
6,tiger,1,35
7,tiger,5,90
8,tiger,4,90
9,tiger,2,90
10,tiger,5,145
1,be.moore,4,30
2,be.moore,5,100
3,be.moore,4,100
4,be.moore,7,135
5,be.moore,7,135
6,be.moore,4,235
7,be.moore,5,345
8,be.moore,5,400
9,be.moore,6,520
10,be.moore,4,520
1,blueshoes,7,15
2,blueshoes,4,75
3,blueshoes,1,75
4,blueshoes,4,125
5,blueshoes,6,205
1,flygirl,5,50
6,blueshoes,3,205
7,blueshoes,7,295
8,blueshoes,7,405
9,blueshoes,7,515
10,blueshoes,7,645
1,boss82,4,80
2,boss82,5,115
3,boss82,3,205
4,boss82,3,250
5,boss82,4,300
6,boss82,4,400
7,boss82,4,450
8,boss82,4,450
9,boss82,6,570
10,boss82,6,690
1,TCostik,3,90
2,TCostik,1,90
3,TCostik,4,190
1,pattiann7163,3,50
4,TCostik,3,190
5,TCostik,3,190
6,TCostik,4,240
2,pattiann7163,1,120
7,TCostik,5,350
3,pattiann7163,1,190
8,TCostik,5,405
9,TCostik,3,405
4,pattiann7163,1,260
10,TCostik,5,460
5,pattiann7163,1,330
6,pattiann7163,1,400
1,BL,4,80
1,Jamie,6,60
7,pattiann7163,3,490
2,Jamie,3,110
2,BL,5,150
3,Jamie,4,210
8,pattiann7163,5,600
4,Jamie,5,260
1,car,7,30
3,BL,4,210
5,car,3,350
9,pattiann7163,5,710
2,car,4,110
6,Jamie,4,450
4,BL,3,300
7,Jamie,4,550
10,pattiann7163,5,820
3,car,4,170
5,BL,6,380
8,Jamie,4,650
9,Jamie,4,750
1,Cadfael,5,30
10,Jamie,4,850
6,BL,6,480
7,BL,5,590
4,car,4,250
2,Cadfael,7,80
8,BL,6,690
6,car,4,450
3,Cadfael,4,180
7,car,5,560
9,BL,7,800
4,Cadfael,3,270
8,car,6,660
10,BL,6,920
9,car,6,780
5,Cadfael,6,350
10,car,6,900
6,Cadfael,7,420
7,Cadfael,2,500
8,Cadfael,1,570
9,Cadfael,6,690
1,emichelle87,3,45
10,Cadfael,6,810
2,emichelle87,2,125
3,emichelle87,2,125
4,emichelle87,5,215
5,emichelle87,6,275
6,emichelle87,5,365
7,emichelle87,7,455
8,emichelle87,6,575
9,emichelle87,1,575
10,emichelle87,6,635
1,Alvin,1,35
2,Alvin,6,75
3,Alvin,7,125
4,Alvin,1,125
1,lcs,5,70
5,Alvin,5,215
2,lcs,4,130
6,Alvin,4,265
3,lcs,4,190
7,Alvin,5,320
4,lcs,3,260
8,Alvin,2,320
9,Alvin,6,440
5,lcs,4,340
6,lcs,3,430
10,Alvin,7,570
1,Natalie,4,80
7,lcs,4,530
8,lcs,5,640
2,Natalie,3,150
9,lcs,6,760
10,lcs,7,890
3,Natalie,7,200
4,Natalie,4,300
5,Natalie,4,400
6,Natalie,3,490
7,Natalie,4,590
8,Natalie,4,690
9,Natalie,4,790
10,Natalie,4,890
1,Jasmine27405,7,15
2,Jasmine27405,5,50
1,Mulder,3,70
3,Jasmine27405,6,80
2,Mulder,4,110
4,Jasmine27405,4,120
3,Mulder,2,170
4,Mulder,1,240
5,Jasmine27405,6,220
5,Mulder,6,320
6,Mulder,7,410
6,Jasmine27405,6,320
7,Mulder,5,520
8,Mulder,5,630
9,Mulder,5,740
7,Jasmine27405,7,410
10,Mulder,4,840
8,Jasmine27405,6,530
9,Jasmine27405,6,650
10,Jasmine27405,6,710
1,Linz,3,50
2,Linz,4,150
3,Linz,5,240
4,Linz,6,280
5,Linz,4,380
6,Linz,3,470
7,Linz,4,570
8,Linz,4,670
9,Linz,6,790
10,Linz,6,910
1,Lee,7,30
2,Lee,2,110
3,Lee,2,190
4,Lee,6,250
5,Lee,2,330
6,Lee,7,420
7,Lee,4,520
8,Lee,2,600
9,Lee,6,720
10,Lee,6,840
1,kbelle,1,70
2,kbelle,2,150
3,kbelle,7,180
4,kbelle,1,250
5,kbelle,1,320
6,kbelle,5,430
7,kbelle,5,540
8,kbelle,6,640
9,kbelle,5,750
10,kbelle,4,850
1,useranon58,5,50
2,useranon58,6,70
3,useranon58,7,140
4,useranon58,7,190
5,useranon58,6,290
6,useranon58,6,370
7,useranon58,6,450
8,useranon58,6,570
9,useranon58,6,690
10,useranon58,7,820
1,nibbles,7,10
2,nibbles,7,60
3,nibbles,7,90
4,nibbles,5,200
5,nibbles,5,290
6,nibbles,5,400
7,nibbles,5,510
8,nibbles,5,620
9,nibbles,5,730
10,nibbles,5,840
1,Kitty,5,50
2,Kitty,5,100
3,Kitty,7,150
4,Kitty,7,200
5,Kitty,7,270
6,Kitty,6,350
7,Kitty,5,460
8,Kitty,5,570
9,Kitty,7,680
10,Kitty,7,810
1,JimBobJoe,5,50
2,JimBobJoe,4,130
3,JimBobJoe,4,230
4,JimBobJoe,5,300
5,JimBobJoe,5,410
6,JimBobJoe,6,490
7,JimBobJoe,5,600
8,JimBobJoe,6,720
9,JimBobJoe,6,840
10,JimBobJoe,6,960
1,randi,2,80
2,randi,5,130
1,sharon,5,50
3,randi,7,180
4,randi,6,260
5,randi,4,340
6,randi,2,420
2,sharon,4,130
7,randi,7,490
8,randi,3,580
3,sharon,5,200
9,randi,6,700
10,randi,5,810
4,sharon,5,270
5,sharon,6,350
6,sharon,4,450
7,sharon,4,550
8,sharon,6,670
9,sharon,6,790
10,sharon,7,920
1,Dawsyndad,7,50
2,Dawsyndad,7,100
3,Dawsyndad,7,150
4,Dawsyndad,7,200
5,Dawsyndad,7,270
6,Dawsyndad,7,340
7,Dawsyndad,7,430
8,Dawsyndad,7,540
9,Dawsyndad,7,650
10,Dawsyndad,7,780
1,beyoutiful,7,30
2,beyoutiful,5,100
3,beyoutiful,7,170
4,beyoutiful,7,220
5,beyoutiful,6,300
6,beyoutiful,6,380
7,beyoutiful,7,470
8,beyoutiful,7,580
9,beyoutiful,7,690
10,beyoutiful,7,820
1,hugaporcupine,5,70
2,hugaporcupine,4,150
3,hugaporcupine,5,240
4,hugaporcupine,5,310
1,sportypanda,6,80
5,hugaporcupine,4,410
2,sportypanda,7,110
6,hugaporcupine,5,500
3,sportypanda,5,135
7,hugaporcupine,6,600
4,sportypanda,6,165
8,hugaporcupine,6,720
5,sportypanda,7,255
9,hugaporcupine,7,830
6,sportypanda,1,255
7,sportypanda,6,355
10,hugaporcupine,7,960
8,sportypanda,7,465
9,sportypanda,5,520
10,sportypanda,7,650
1,Panda,5,70
2,Panda,4,150
1,aud,5,0
3,Panda,4,250
2,aud,3,45
4,Panda,5,340
3,aud,4,75
4,aud,2,115
5,aud,1,115
5,Panda,5,430
6,aud,4,165
7,aud,4,215
6,Panda,5,520
8,aud,4,215
9,aud,4,215
7,Panda,5,630
10,aud,5,270
8,Panda,5,740
9,Panda,6,860
10,Panda,7,990
1,Terry,5,30
1,sherryberran,7,50
2,sherryberran,5,140
3,sherryberran,4,220
4,sherryberran,5,220
5,sherryberran,7,310
6,sherryberran,2,310
2,Terry,2,110
7,sherryberran,5,420
8,sherryberran,7,465
9,sherryberran,4,465
10,sherryberran,4,465
3,Terry,1,180
4,Terry,2,260
1,611H,7,30
2,611H,7,80
3,611H,7,150
4,611H,7,180
5,611H,6,220
5,Terry,1,330
6,611H,6,300
7,611H,6,400
8,611H,6,500
9,611H,6,620
6,Terry,6,410
10,611H,6,740
7,Terry,7,480
8,Terry,4,580
9,Terry,1,650
10,Terry,7,780
1,JayDee,7,10
2,JayDee,3,100
3,JayDee,2,180
4,JayDee,3,270
5,JayDee,5,360
6,JayDee,6,460
7,JayDee,5,570
8,JayDee,4,670
9,JayDee,6,790
10,JayDee,5,900
1,short,6,40
2,short,1,75
3,short,7,100
4,short,5,190
5,short,4,290
6,short,4,340
7,short,5,450
8,short,6,500
9,short,5,555
10,short,4,555
1,SILLYMO88,2,80
2,SILLYMO88,5,150
3,SILLYMO88,4,190
4,SILLYMO88,7,260
5,SILLYMO88,7,330
6,SILLYMO88,7,330
7,SILLYMO88,6,430
8,SILLYMO88,5,485
9,SILLYMO88,6,605
10,SILLYMO88,6,725
1,dirtyfeetindeed,5,30
2,dirtyfeetindeed,3,120
3,dirtyfeetindeed,2,200
4,dirtyfeetindeed,1,270
5,dirtyfeetindeed,2,350
6,dirtyfeetindeed,3,440
1,LB,4,60
7,dirtyfeetindeed,4,540
8,dirtyfeetindeed,5,650
9,dirtyfeetindeed,6,770
10,dirtyfeetindeed,7,900
2,LB,5,170
3,LB,6,230
4,LB,5,320
5,LB,5,410
6,LB,5,500
7,LB,4,600
8,LB,6,700
9,LB,6,820
10,LB,6,940
1,Selene,7,10
2,Selene,5,80
3,Selene,7,130
4,Selene,7,160
5,Selene,6,240
6,Selene,6,340
7,Selene,7,430
8,Selene,7,520
9,Selene,7,630
10,Selene,7,760
1,Rotyflo,3,45
2,Rotyflo,3,80
3,Rotyflo,1,80
4,Rotyflo,3,125
5,Rotyflo,4,175
6,Rotyflo,5,265
7,Rotyflo,4,315
8,Rotyflo,6,365
9,Rotyflo,4,365
10,Rotyflo,7,495
1,Steve,4,20
2,Steve,4,20
3,Steve,2,20
4,Steve,3,20
5,Steve,2,20
6,Steve,4,120
7,Steve,4,170
8,Steve,4,170
9,Steve,5,225
10,Steve,5,225
1,SharkTeeth,7,30
2,SharkTeeth,7,30
3,SharkTeeth,7,45
4,SharkTeeth,6,75
5,SharkTeeth,7,165
6,SharkTeeth,7,255
7,SharkTeeth,7,300
8,SharkTeeth,7,410
9,SharkTeeth,7,520
10,SharkTeeth,7,650
1,Tina,4,0
2,Tina,6,60
3,Tina,5,95
4,Tina,3,140
5,Tina,4,240
6,Tina,6,270
7,Tina,6,370
8,Tina,7,415
9,Tina,4,415
10,Tina,4,415
{"class":"gov.sandia.genlist.survey.Survey","id":1,"surveyAnswers":{"question6":"3","question1":"1","question2":"3","question3":"2","question4":"2","question5":"1"},"surveyCompletionTime":1453310057406,"surveyName":"Could we fly from London to New York in an hour?","username":"c1"}
{"class":"gov.sandia.genlist.survey.Survey","id":2,"surveyAnswers":{"question6":"1","question1":"4","question2":"3","question3":"3","question4":"3","question5":"3"},"surveyCompletionTime":1453310067030,"surveyName":"Why are environmentalists putting graffiti on tortoises?","username":"c1"}
{"class":"gov.sandia.genlist.survey.Survey","id":3,"surveyAnswers":{"question7":"4","question6":"2","question8":"2","question1":"2","question2":"2","question3":"2","question4":"2","question5":"2"},"surveyCompletionTime":1453310115530,"surveyName":"Group Identity Questions","username":"c1"}
{"class":"gov.sandia.genlist.survey.Survey","id":4,"surveyAnswers":{"question1":"4","question2":"4","question3":"3","question4":"2","question5":"1"},"surveyCompletionTime":1453310128124,"surveyName":"Trust Questions","username":"c1"}
{"class":"gov.sandia.genlist.survey.Survey","id":5,"surveyAnswers":{"question7":"1","question6":"1","question8":"1","question1":"1","question2":"1","question3":"1","question4":"1","question5":"1"},"surveyCompletionTime":1453310168707,"surveyName":"Group Identity Questions","username":"e1"}
{"class":"gov.sandia.genlist.survey.Survey","id":6,"surveyAnswers":{"question1":"1","question2":"1","question3":"1","question4":"1","question5":"1"},"surveyCompletionTime":1453310172368,"surveyName":"Trust Questions","username":"e1"}
{"class":"gov.sandia.genlist.survey.Survey","id":7,"surveyAnswers":{"question6":"1","question1":"4","question2":"2","question3":"3","question4":"4","question5":"3"},"surveyCompletionTime":1453310314256,"surveyName":"Could we fly from London to New York in an hour?","username":"c22"}
{"class":"gov.sandia.genlist.survey.Survey","id":8,"surveyAnswers":{"question6":"3","question1":"1","question2":"2","question3":"4","question4":"2","question5":"3"},"surveyCompletionTime":1453310343590,"surveyName":"Why are environmentalists putting graffiti on tortoises?","username":"c22"}
